train [0/1000] Loss: 0.0432, Best valid: inf, Learning rate: 0.000100 
valid [90/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000005 
train [91/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [91/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000004 
train [92/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [92/1000] Loss: 0.0076, Best valid: 0.0073, Learning rate: 0.000004 
train [93/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [93/1000] Loss: 0.0077, Best valid: 0.0073, Learning rate: 0.000004 
train [94/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [94/1000] Loss: 0.0076, Best valid: 0.0073, Learning rate: 0.000004 
train [95/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [95/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000004 
train [96/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [96/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000004 
train [97/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [97/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000004 
train [98/1000] Loss: 0.0071, Best valid: 0.0073, Learning rate: 0.000004 
valid [98/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000004 
train [99/1000] Loss: 0.0070, Best valid: 0.0073, Learning rate: 0.000003 
valid [99/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000003 
train [99/1000] Loss: 0.0070, Best valid: inf, Learning rate: 0.000003 
valid [99/1000] Loss: 0.0075, Best valid: inf, Learning rate: 0.000003 
train [100/1000] Loss: 0.0070, Best valid: 0.0075, Learning rate: 0.000003 
valid [100/1000] Loss: 0.0073, Best valid: 0.0075, Learning rate: 0.000003 
train [101/1000] Loss: 0.0070, Best valid: 0.0073, Learning rate: 0.000003 
valid [101/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000003 
train [102/1000] Loss: 0.0069, Best valid: 0.0073, Learning rate: 0.000003 
valid [102/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000003 
train [103/1000] Loss: 0.0069, Best valid: 0.0073, Learning rate: 0.000003 
valid [103/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000003 
train [104/1000] Loss: 0.0069, Best valid: 0.0073, Learning rate: 0.000003 
valid [104/1000] Loss: 0.0076, Best valid: 0.0073, Learning rate: 0.000003 
train [105/1000] Loss: 0.0069, Best valid: 0.0073, Learning rate: 0.000002 
valid [105/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000002 
train [105/1000] Loss: 0.0070, Best valid: inf, Learning rate: 0.000002 
valid [105/1000] Loss: 0.0082, Best valid: inf, Learning rate: 0.000002 
train [106/1000] Loss: 0.0070, Best valid: 0.0082, Learning rate: 0.000002 
valid [106/1000] Loss: 0.0081, Best valid: 0.0082, Learning rate: 0.000002 
train [105/1000] Loss: 0.0076, Best valid: inf, Learning rate: 0.000002 
valid [105/1000] Loss: 0.0076, Best valid: inf, Learning rate: 0.000002 
train [105/1000] Loss: 0.0077, Best valid: inf, Learning rate: 0.000002 
valid [105/1000] Loss: 0.0075, Best valid: inf, Learning rate: 0.000002 
train [106/1000] Loss: 0.0075, Best valid: 0.0075, Learning rate: 0.000002 
valid [106/1000] Loss: 0.0074, Best valid: 0.0075, Learning rate: 0.000002 
train [107/1000] Loss: 0.0075, Best valid: 0.0074, Learning rate: 0.000002 
valid [107/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000002 
train [108/1000] Loss: 0.0076, Best valid: 0.0074, Learning rate: 0.000002 
valid [108/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000002 
train [109/1000] Loss: 0.0075, Best valid: 0.0074, Learning rate: 0.000002 
valid [109/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000002 
train [110/1000] Loss: 0.0076, Best valid: 0.0074, Learning rate: 0.000002 
valid [110/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000002 
train [111/1000] Loss: 0.0075, Best valid: 0.0074, Learning rate: 0.000002 
valid [111/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000002 
train [112/1000] Loss: 0.0075, Best valid: 0.0074, Learning rate: 0.000002 
valid [112/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000002 
train [113/1000] Loss: 0.0076, Best valid: 0.0074, Learning rate: 0.000001 
valid [113/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
train [114/1000] Loss: 0.0075, Best valid: 0.0074, Learning rate: 0.000001 
valid [114/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
train [115/1000] Loss: 0.0076, Best valid: 0.0074, Learning rate: 0.000001 
valid [115/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
train [116/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
valid [116/1000] Loss: 0.0073, Best valid: 0.0074, Learning rate: 0.000001 
train [117/1000] Loss: 0.0075, Best valid: 0.0073, Learning rate: 0.000001 
valid [117/1000] Loss: 0.0073, Best valid: 0.0073, Learning rate: 0.000001 
train [118/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000001 
valid [118/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000001 
train [119/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000001 
valid [119/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000001 
train [120/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
valid [120/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
train [121/1000] Loss: 0.0074, Best valid: 0.0074, Learning rate: 0.000001 
valid [121/1000] Loss: 0.0073, Best valid: 0.0074, Learning rate: 0.000001 
train [122/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000001 
valid [122/1000] Loss: 0.0073, Best valid: 0.0073, Learning rate: 0.000001 
train [123/1000] Loss: 0.0074, Best valid: 0.0073, Learning rate: 0.000001 
valid [123/1000] Loss: 0.0073, Best valid: 0.0073, Learning rate: 0.000001 
